"ASV_ID","kingdom","phylum","class","order","family","genus","species","domain","species_raw","best_id","species_lab"
"ASV443","Eukaryota","Chordata","Actinopteri","Perciformes","Pholidae","Pholis","Pholis crassispina","Eukaryota","Pholis crassispina","Pholis crassispina","Pholis crassispina 3"
"ASV444","Eukaryota","Chordata","Actinopteri","Perciformes","Pholidae","Pholis","Pholis crassispina","Eukaryota","Pholis crassispina","Pholis crassispina","Pholis crassispina 4"
"ASV446","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Ctenolabrus","Ctenolabrus rupestris","Eukaryota","Ctenolabrus rupestris","Ctenolabrus rupestris","Ctenolabrus rupestris 25"
"ASV447","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Labrus","Labrus mixtus","Eukaryota","Labrus mixtus","Labrus mixtus","Labrus mixtus 4"
"ASV448","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo","Eukaryota",NA,"Homo","Homo"
"ASV449","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salmo","Salmo","Eukaryota",NA,"Salmo","Salmo 11"
"ASV450","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea pallasii","Eukaryota","Clupea pallasii","Clupea pallasii","Clupea pallasii 19"
"ASV451","Eukaryota","Chordata","Actinopteri","Gadiformes","Merlucciidae","Merluccius","Merluccius senegalensis","Eukaryota","Merluccius senegalensis","Merluccius senegalensis","Merluccius senegalensis 2"
"ASV452","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Labrus","Labrus bergylta","Eukaryota","Labrus bergylta","Labrus bergylta","Labrus bergylta 3"
"ASV453","Eukaryota","Chordata","Actinopteri","Gadiformes","Lotidae","Ciliata","Ciliata septentrionalis","Eukaryota","Ciliata septentrionalis","Ciliata septentrionalis","Ciliata septentrionalis 2"
"ASV454","Eukaryota","Chordata","Actinopteri","Cypriniformes","Leuciscidae","Phoxinus","Phoxinus bigerri","Eukaryota","Phoxinus bigerri","Phoxinus bigerri","Phoxinus bigerri"
"ASV455","Eukaryota","Chordata","Actinopteri","Scombriformes","Scombriformes","Scombriformes","Scombriformes","Eukaryota",NA,"Scombriformes","Scombriformes"
"ASV456","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae","Pollachius","Pollachius virens","Eukaryota","Pollachius virens","Pollachius virens","Pollachius virens 14"
"ASV459","Eukaryota","Chordata","Actinopteri","Actinopteri","Actinopteri","Actinopteri","Actinopteri","Eukaryota",NA,"Actinopteri","Actinopteri 4"
"ASV460","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Labrus","Labrus mixtus","Eukaryota","Labrus mixtus","Labrus mixtus","Labrus mixtus 5"
"ASV463","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea pallasii","Eukaryota","Clupea pallasii","Clupea pallasii","Clupea pallasii 20"
"ASV464","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Scophthalmidae","Zeugopterus","Zeugopterus punctatus","Eukaryota","Zeugopterus punctatus","Zeugopterus punctatus","Zeugopterus punctatus 4"
"ASV465","Eukaryota","Chordata","Actinopteri","Cypriniformes","Leuciscidae","Phoxinus","Phoxinus","Eukaryota",NA,"Phoxinus","Phoxinus 28"
"ASV467","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea harengus","Eukaryota","Clupea harengus","Clupea harengus","Clupea harengus 31"
"ASV468","Eukaryota","Chordata","Actinopteri","Cypriniformes","Leuciscidae","Phoxinus","Phoxinus","Eukaryota",NA,"Phoxinus","Phoxinus 29"
"ASV469","Eukaryota","Chordata","Actinopteri","Cypriniformes","Leuciscidae","Phoxinus","Phoxinus","Eukaryota",NA,"Phoxinus","Phoxinus 30"
"ASV470","Eukaryota","Chordata","Actinopteri","Gadiformes","Merlucciidae","Merluccius","Merluccius senegalensis","Eukaryota","Merluccius senegalensis","Merluccius senegalensis","Merluccius senegalensis 3"
"ASV471","Eukaryota","Chordata","Actinopteri","Perciformes","Pholidae","Pholis","Pholis","Eukaryota",NA,"Pholis","Pholis 5"
"ASV472","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Symphodus","Symphodus","Eukaryota",NA,"Symphodus","Symphodus"
"ASV474","Eukaryota","Chordata","Actinopteri","Perciformes","Cottidae","Myoxocephalus","Myoxocephalus quadricornis","Eukaryota","Myoxocephalus quadricornis","Myoxocephalus quadricornis","Myoxocephalus quadricornis 6"
"ASV475","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Labrus","Labrus mixtus","Eukaryota","Labrus mixtus","Labrus mixtus","Labrus mixtus 6"
"ASV477","Eukaryota","Chordata","Actinopteri","Gadiformes","Lotidae","Molva","Molva molva","Eukaryota","Molva molva","Molva molva","Molva molva 9"
"ASV478","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea pallasii","Eukaryota","Clupea pallasii","Clupea pallasii","Clupea pallasii 21"
"ASV479","Eukaryota","Chordata","Actinopteri","Cypriniformes","Leuciscidae","Phoxinus","Phoxinus","Eukaryota",NA,"Phoxinus","Phoxinus 31"
"ASV481","Eukaryota","Chordata","Actinopteri","Perciformes","Pholidae","Pholis","Pholis gunnellus","Eukaryota","Pholis gunnellus","Pholis gunnellus","Pholis gunnellus 4"
"ASV482","Eukaryota","Chordata","Actinopteri","Gadiformes","Merlucciidae","Merluccius","Merluccius","Eukaryota",NA,"Merluccius","Merluccius 2"
